Manufacture_SKU_UPC,Product_Type,Post_Status,image_logo,image_main,image_1,image_2,image_3,image_4,image_5,image_6,image_7,image_8,image_9,image_10,image_console,Commercial_Level,Category,Category_Sub,Category_Sub_Sub,Category_Sub_Sub_Sub,Manufacture,Product_Name,Pricing_Cost,Pricing_MSPR,Pricing_MAP,Pricing_Special,Pricing_Special_Start_Date,Pricing_Special_End_Date,Short_Description,Overveiw,Footprint_Length,x_1,Footprint_Width,x_2,Footprint_Height,Footprint_Active_Length,x_3,Footprint_Active_Width,x_4,Footprint_Active_Height,Footprint_UOM,Machine_Weight,Machine_Weight_UOM,Elliptical_Stride_Length_Adjustable_Stride_(Yes/No),Elliptical_Stride_Length_Min,Elliptical_Stride_Length_Max,Elliptical_Stride_Length_Adjusting_Increments,Elliptical_Stride_UOM,Elliptical_Stride_Length_Type_of_Adjusting,Elliptical_Ramp_Adjustable_(Yes/No),Elliptical_Ramp_Min_Angle,Elliptical_Ramp_Max_Angle,Elliptical_Ramp_Type_of_Adjustment,Elliptical_Ramp_#_of_Adjustments,Max_User_Weight,Max_User_Weight_,Plug-in,Elliptical_Drive_System,Resistance_Type,Resistance_Levels_Quantity,Heart_Rate_Contact,Heart_Rate_Monitoring_Wireless,Elliptical_Design_(Step_In/On)_,Elliptical_Hand_Grips_Muilti_Position,Warranty_Frame_In_Years,Warranty_Parts_In_Years,Warranty_Labor_In_Year,Warranty_Treadmill_Motor,Warranty_Restrictions,Console_Type,Console_Programs,Console_Programs_User,Console_Programs_Heart_Rate_Controled,Brochure,Manual,Treadmill_Belt_Width,Treadmill_Belt_Length,Treadmill_Belt_UOM,Treadmill_Belt_Type,Treadmill_Roller_Size,Treadmill_Roller_Size_UOM,Treadmill_Deck_Thickness,Treadmill_Deck_Phenolic_Coating,Treadmill_Deck_Need_Lubercation,Treadmill_Deck_Reversibility,Treadmill_Sidestep_Rails,Treadmill_Motor_Type,Treadmill_Motor_Horse_Power,Treadmill_Deck_Adjustable_Softness,Treadmill_Speed_Min,Treadmill_Speed_Max,Treadmill_Speed_Adjustment,Treadmill_Ramp_Incline,Treadmill_Ramp_Decline,Treadmill_Ramp_Min,Treadmill_Ramp_Max_,Treadmill_Ramp_Change_Amount,Recumbent_Bike_Design,Recumbent_Bike_Seat_Back_Adjustable,Recumbent_Bike_Seat_Back_Type,Recumbent_Bike_Seat_Back_#_of_Position,Rower_Seat_Travel,Rower_Pull_Cable,Spin_Bike_Handle_Bars_Mutiposition,Spin_Bike_Fly_Wheel_Weight,Spin_Bike_Fly_Wheel_Weight_UOM,Spin_Bike_Fly_Wheel_Primiter_Weighted,Spin_Bike_Belt_System,Gym_Weight_Stack,Gym_Weight_Stack_UOM,Shipping_Wieght,Shipping_Length,Shipping_Width,Shipping_Height,Up-Sells_SKU,Cross-Sells_SKU,Download_&_Import_Attachments,Post_Author,Post_Slug,Manage_Stock?,Stock_Qty,Stock_Status,Allow_Backorders?,Sold_Individually?,Enable_Reviews,Featured,Catalog_Visibility,Tax_Status,Tax_Class
G3S,simple,publish,,http://www.BodySolid.com/images/products/G3S/600/G3S_HERO_M.png,http://www.BodySolid.com/images/products/G3S/600/G3S_EX_1ArmCurl_M.png,http://www.BodySolid.com/images/products/G3S/600/G3S_EX_1ArmRaise_F.png,http://www.BodySolid.com/images/products/G3S/600/G3S_EX_Kickback_F.png,,,,,,,,http://www.BodySolid.com/images/products/G3S/600/G3S_EX_LatPull_M.png,Light Commercial,Strength,Multi-Gym,,,Body-Solid,Body-Solid G3S Selectorized Home Gym,,"$1,950.00","$1,950.00",,,,,The G3S is a total body fitness machine that is built to last and bring you a LIFETIME of effective workouts,80,,47,,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,instock,no,yes,no,no,catalog/search,taxable,standard
S2CP,simple,publish,,http://www.BodySolid.com/images/products/S2CP/600/S2CP.png,http://www.BodySolid.com/images/products/S2CP/600/S2CP_EX_M.jpg,,,,,,,,,,,Light Commercial,Strength,,,,Body-Solid,Series II Chest Press,,"$1,950.00","$1,950.00",,,,,Designed to provide an intense workout while eliminating strain the Pro Clubline Series II pieces are hard to beat.,55,,44,,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,instock,no,yes,no,no,catalog/search,taxable,standard
S2LAT,simple,publish,,http://www.BodySolid.com/images/products/S2LAT/600/S2LAT.png,http://www.BodySolid.com/images/products/S2LAT/600/S2LAT_PC2_LatPullRow.png,http://www.BodySolid.com/images/products/S2LAT/600/S2LAT_EX_F_1.jpg,http://www.BodySolid.com/images/products/S2LAT/600/S2LAT_EX_M_2.jpg,,,,,,,,,Light Commercial,Strength,,,,Body-Solid,Series II Lat Pulldown & Seated Row,,"$1,950.00","$1,950.00",,,,,Designed to provide an intense workout while eliminating strain the Pro Clubline Series II pieces are hard to beat.,87,,33,,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,instock,no,yes,no,no,catalog/search,taxable,standard
S2MP,simple,publish,,http://www.BodySolid.com/images/products/S2MP/600/S2MP.png,http://www.BodySolid.com/images/products/S2MP/600/S2MP_EX_F_3.jpg,http://www.BodySolid.com/images/products/S2MP/600/S2MP_EX_M_1.jpg,http://www.BodySolid.com/images/products/S2MP/600/S2MP_EX_M_2.jpg,,,,,,,,,Light Commercial,Strength,,,,Body-Solid,Series II Multi-Press,,"$1,950.00","$1,950.00",,,,,Designed to provide an intense workout while eliminating strain the Pro Clubline Series II pieces are hard to beat.,72,,54,,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,instock,no,yes,no,no,catalog/search,taxable,standard
S2PEC,simple,publish,,http://www.BodySolid.com/images/products/S2PEC/600/S2PEC.png,http://www.BodySolid.com/images/products/S2PEC/600/S2PEC_PC2_PecDeck.png,http://www.BodySolid.com/images/products/S2PEC/600/S2PEC_EX_M_1.jpg,http://www.BodySolid.com/images/products/S2PEC/600/S2PEC_EX_M_2.jpg,,,,,,,,,Light Commercial,Strength,,,,Body-Solid,Series II Pec Fly & Rear Delt,,"$1,950.00","$1,950.00",,,,,Designed to provide an intense workout while eliminating strain the Pro Clubline Series II pieces are hard to beat.,51,,58,,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,instock,no,yes,no,no,catalog/search,taxable,standard
S2SLC,simple,publish,,http://www.BodySolid.com/images/products/S2SLC/600/S2SLC.png,http://www.BodySolid.com/images/products/S2SLC/600/S2SLC_PC2_LegCurl.png,http://www.BodySolid.com/images/products/S2SLC/600/S2SLC_EX_M.jpg,,,,,,,,,,Light Commercial,Strength,,,,Body-Solid,Series II Seated Leg Curl,,"$1,950.00","$1,950.00",,,,,Designed to provide an intense workout while eliminating strain the Pro Clubline Series II pieces are hard to beat.,57,,52,,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,instock,no,yes,no,no,catalog/search,taxable,standard
S2LPC,simple,publish,,http://www.BodySolid.com/images/products/S2LPC/600/S2LPC.png,http://www.BodySolid.com/images/products/S2LPC/600/S2LPC_PC2_LegPressCalfRaise.png,http://www.BodySolid.com/images/products/S2LPC/600/S2LPC_EX_F_2.jpg,http://www.BodySolid.com/images/products/S2LPC/600/S2LPC_EX_M_1.jpg,,,,,,,,,Light Commercial,Strength,,,,Body-Solid,Series II Leg Press & Calf Raise,,"$1,975.00","$1,975.00",,,,,Designed to provide an intense workout while eliminating strain the Pro Clubline Series II pieces are hard to beat.,83,,47,,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,instock,no,yes,no,no,catalog/search,taxable,standard
T3,simple,publish,,http://www.BodySolid.com/images/products/T3/600/T3_EX.png,http://www.BodySolid.com/images/products/T3/600/T3_Hero.png,http://www.BodySolid.com/images/products/T3/600/T3i_Console.jpg,,,,,,,,,,Light Commercial,Treadmills,Platform Treadmills,,,Body-Solid,Endurance T3i Treadmill,,"$2,000.00","$2,000.00",,,,,Pick up the pace of your in-home workout. The benefits of regular exercise cannot be overstated and developing a high quality home fitness regimen can get you on the fast track to a healthy lifestyle,64,,31,,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,instock,no,yes,no,no,catalog/search,taxable,standard
B2-5U,simple,publish,,http://www.BodySolid.com/images/products/B2-5U/600/B2.5U_HEROM.png,http://www.BodySolid.com/images/products/B2-5U/600/B2.5U_EX.png,http://www.BodySolid.com/images/products/B2-5U/600/B2.5U_NM.png,,,,,,,,,,Light Commercial,Bikes,Upright Bikes,,,Body-Solid,Endurance B2.5U Upright Bike,,"$2,075.00","$2,075.00",,,,,With a more comfortable seat than a traditional road bike and 20 levels of smoothly adjustable magnetic resistance the Endurance B2.5U puts you in control,41,,35,,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,instock,no,yes,no,no,catalog/search,taxable,standard
GIOT-STK,simple,publish,,http://www.BodySolid.com/images/products/GIOT-STK/600/GIOTSTK_HERO.png,http://www.BodySolid.com/images/products/GIOT-STK/600/GIOTSTK_Ex_Abductor.png,http://www.BodySolid.com/images/products/GIOT-STK/600/GIOTSTK_Ex_Adductor.png,,,,,,,,,,Light Commercial,Strength,,,,Body-Solid,PRO-Select Inner & Outer Thigh Machine,,"$2,100.00","$2,100.00",,,,,Does both abductor & adductor exercises from one seated position,62.5,,65,,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,instock,no,yes,no,no,catalog/search,taxable,standard
E300,simple,publish,,http://www.BodySolid.com/images/products/E300/600/E300_Ex.png,http://www.BodySolid.com/images/products/E300/600/E300_Hero.png,http://www.BodySolid.com/images/products/E300/600/E300_Hero02.png,,,,,,,,,,Light Commercial,Ellipticals,Standing Ellipticals,,,Body-Solid,Endurance E300 Eliptical Trainer,,"$2,175.00","$2,175.00",,,,,Endurance Center Drive elliptical trainers are the perfect blend of research engineering performance and technology.,50,,31,,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,instock,no,yes,no,no,catalog/search,taxable,standard
GCRPACK,simple,publish,,http://www.BodySolid.com/images/products/GCRPACK/600/GCR100-PACK.png,http://www.BodySolid.com/images/products/GCRPACK/600/BSTCB_EX_0 1.jpg,http://www.BodySolid.com/images/products/GCRPACK/600/BSTCB_EX_0 2.jpg,http://www.BodySolid.com/images/products/GCRPACK/600/BSTCB_EX_0 3.jpg,,,,,,,,http://www.BodySolid.com/images/products/GCRPACK/600/BSTCB_EX_0 4.jpg,Light Commercial,Strength,,,,Body-Solid,Cardio Barbell Set,,"$2,250.00","$2,250.00",,,,,Cardio barbell training is one of the most effective group exercises around.,39,,36,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,instock,no,yes,no,no,catalog/search,taxable,standard
E7-HRC,simple,publish,,http://www.BodySolid.com/images/products/E7-HRC/600/E7_HRC_HERO.png,,,,,,,,,,,,Light Commercial,Ellipticals,Standing Ellipticals,,,Body-Solid,Endurance E7 HRC Premium Elliptical Trainer,,"$2,275.00","$2,275.00",,,,,With electronic Heart Rate Control monitoring your progress and delivering the appropriate challenge you'll achieve your peak cardio goals in the most efficient workout possible.,62,,26,,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,instock,no,yes,no,no,catalog/search,taxable,standard
PSM1442XS,simple,publish,,http://www.BodySolid.com/images/products/PSM1442XS/600/PSM1442XS_HERO1.png,http://www.BodySolid.com/images/products/PSM1442XS/600/PSM1442XS_EX_InclPress.png,http://www.BodySolid.com/images/products/PSM1442XS/600/PSM1442XS_EX_PecFly.png,http://www.BodySolid.com/images/products/PSM1442XS/600/PSM1442XS_HERO02.png,,,,,,,,,Light Commercial,Strength,Free Weight Equipment,Smith Machine,,Body-Solid,Powerline Smith Gym,,"$2,275.00","$2,275.00",,,,,One of America's favorite gyms with literally tens of thousands of satisfied owners across the nation,45,,76,,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,instock,no,yes,no,no,catalog/search,taxable,standard
TF3i,simple,publish,,http://www.BodySolid.com/images/products/TF3i/600/TF3i_Ex.png,http://www.BodySolid.com/images/products/TF3i/600/TF3i_Folded.png,http://www.BodySolid.com/images/products/TF3i/600/TF3i_Hero02.png,http://www.BodySolid.com/images/products/TF3i/600/T3i_Console.jpg,,,,,,,,,Light Commercial,Treadmills,Folding Treadmills,,,Body-Solid,Endurance TF3i Folding Treadmill,,"$2,275.00","$2,275.00",,,,,An economical fitness solution that allows you to keep pace while saving space,37,,31,,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,instock,no,yes,no,no,catalog/search,taxable,standard
TS31,simple,publish,,http://www.BodySolid.com/images/products/TS31/600/TS31_HERO.png,,,,,,,,,,,,Light Commercial,Strength,Accessories,Cable Attachments,,Body-Solid,Combo Thigh/Ankle Strap,,"$2,275.00","$2,275.00",,,,,Targets the hips thighs and buttocks one of the biggest problem areas for most women,0.79,,1.97,,10.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,instock,no,yes,no,no,catalog/search,taxable,standard
G2B,simple,publish,,http://www.BodySolid.com/images/products/G2B/600/G2B_HERO_F.png,http://www.BodySolid.com/images/products/G2B/600/G2B_Hero03_F.png,http://www.BodySolid.com/images/products/G2B/600/G2B_EX_1ArmFly_M.png,http://www.BodySolid.com/images/products/G2B/600/G2B_EX_1ArmShouldRaise_F.png,,,,,,,,http://www.BodySolid.com/images/products/G2B/600/G2B_EX_LatPull_M.png,Light Commercial,Strength,Multi-Gym,,,Body-Solid,Body-Solid G2B Bi-Angular Home Gym,,"$2,400.00","$2,400.00",,,,,Bi-Angular® technology uses a converging axis during the pressing motion to provide 25% more muscle interaction for a faster more efficient and complete workout,71,,63,,83.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,instock,no,yes,no,no,catalog/search,taxable,standard
G4I,simple,publish,,http://www.BodySolid.com/images/products/G4I/600/G4I_HERO_F.png,http://www.BodySolid.com/images/products/G4I/600/G4I_EX_1ArmCurl_M.jpg,http://www.BodySolid.com/images/products/G4I/600/G4I_EX_LatPull_M.jpg,http://www.BodySolid.com/images/products/G4I/600/G4I_EX_LegCurl_F.jpg,,,,,,,,http://www.BodySolid.com/images/products/G4I/600/G4I_EX_ObliqueBend_F.jpg,Light Commercial,Strength,Multi-Gym,,,Body-Solid,Body-Solid G4I Iso-Flex Home Gym,,"$2,425.00","$2,425.00",,,,,Based on the 3-Dimensional Independent Iso-Flex Press Arms the G4I offers the most unique and complete workout of any home gym,83,,55,,83.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,instock,no,yes,no,no,catalog/search,taxable,standard
LP40S,simple,publish,,http://www.BodySolid.com/images/products/LP40S/600/LP40S_Hero.png,,,,,,,,,,,,Light Commercial,Strength,,,,Body-Solid,Leg Press Option for EXM4000S,,"$2,485.00","$2,485.00",,,,,Leg Press Option for EXM4000S,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,instock,no,yes,no,no,catalog/search,taxable,standard
GDCC200,simple,publish,,http://www.BodySolid.com/images/products/GDCC200/600/GDCC200_HERO1.png,http://www.BodySolid.com/images/products/GDCC200/600/GDCC200_Ex_ArmExt.png,http://www.BodySolid.com/images/products/GDCC200/600/GDCC200_Ex_ChinUp.png,http://www.BodySolid.com/images/products/GDCC200/600/GDCC200_Ex_Curl.png,,,,,,,,http://www.BodySolid.com/images/products/GDCC200/600/GDCC200_Ex_Fly.png,Light Commercial,Strength,,,,Body-Solid,Body-Solid Functional Training Center 200,,"$2,515.00","$2,515.00",,,,,The Body-Solid GDCC200 brings form to function with limitless range of motion and full adjust-ability in a new space-saving design,72.5,,42.3,,83.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,instock,no,yes,no,no,catalog/search,taxable,standard
GDCC210,simple,publish,,http://www.BodySolid.com/images/products/GDCC210/600/GDCC210_HERO.png,http://www.BodySolid.com/images/products/GDCC210/600/GDCC210_Hero02.png,http://www.BodySolid.com/images/products/GDCC210/600/GDCC210_Ex_TriExt.png,http://www.BodySolid.com/images/products/GDCC210/600/GDCC200_Ex_ChinUp.png,,,,,,,,http://www.BodySolid.com/images/products/GDCC210/600/GDCC200_Ex_Curl.png,Light Commercial,Strength,,,,Body-Solid,Body-Solid Functional Training Center 210,,"$2,515.00","$2,515.00",,,,,A compact version of the GDCC 200,57.9,,42.3,,83.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,instock,no,yes,no,no,catalog/search,taxable,standard
GDCC250,simple,publish,,http://www.BodySolid.com/images/products/GDCC250/600/GDCC250_HERO.png,http://www.BodySolid.com/images/products/GDCC250/600/GDCC250_Ex_1ArmRow.png,http://www.BodySolid.com/images/products/GDCC250/600/GDCC250_Ex_ConCurl.png,http://www.BodySolid.com/images/products/GDCC250/600/GDCC250_Ex_InclFly.png,,,,,,,,http://www.BodySolid.com/images/products/GDCC250/600/GDCC250_Ex_KickBack.png,Light Commercial,Strength,,,,Body-Solid,Body-Solid Deluxe Cable Crossover,,"$2,515.00","$2,515.00",,,,,Body-Solid takes state-of-the-art crossover stations to new heights with the Selectorized Deluxe Cable Crossover a dynamic addition to any home gym exercise program. Stretches functionality and freedom of motion to new levels of total body performance,29,,164,,83.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,instock,no,yes,no,no,catalog/search,taxable,standard
B2-5R,simple,publish,,http://www.BodySolid.com/images/products/B2-5R/600/B2.5R_HERO.png,http://www.BodySolid.com/images/products/B2-5R/600/B2.5R_EX.png,http://www.BodySolid.com/images/products/B2-5R/600/B2.5R_NM.png,,,,,,,,,,Light Commercial,Bikes,Recumbent Bikes,,,Body-Solid,Endurance B2.5R Recumbent Bike,,"$2,570.00","$2,570.00",,,,,Everyone knows how to ride a bike but not everyone knows how to build a commercial quality recumbent bike that will provide a lifetime of cardio fitness,41,,35,,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,instock,no,yes,no,no,catalog/search,taxable,standard
E400,simple,publish,,http://www.BodySolid.com/images/products/E400/600/E400_HERO.png,http://www.BodySolid.com/images/products/E400/600/E400_Ex.png,http://www.BodySolid.com/images/products/E400/600/E400_Hero02.png,,,,,,,,,,Light Commercial,Ellipticals,Standing Ellipticals,,,Body-Solid,Endurance E400 Elliptical Trainer,,"$2,575.00","$2,575.00",,,,,The combination of a natural stride quality manufacturing and superior programming have created the latest evolution in cardio training.,50,,31,,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,instock,no,yes,no,no,catalog/search,taxable,standard
B3U,simple,publish,,http://www.BodySolid.com/images/products/B3U/600/B3U_Hero.png,http://www.BodySolid.com/images/products/B3U/600/B3U_NM.png,,,,,,,,,,,Light Commercial,Bikes,Upright Bikes,,,Body-Solid,Endurance B3U Self Generating Upright Bike,,"$2,650.00","$2,650.00",,,,,With a more comfortable seat than a traditional road bike and 16 levels of smoothly adjustable magnetic resistance the Endurance B3U puts you in control,41,,24,,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,instock,no,yes,no,no,catalog/search,taxable,standard
SBP100G-2,simple,publish,,http://www.BodySolid.com/images/products/SBP100G-2/600/SBP100G_HERO.png,http://www.BodySolid.com/images/products/SBP100G-2/600/SBP100G_EX_SeatPress.png,http://www.BodySolid.com/images/products/SBP100G-2/600/SBP100G_EX_SeatPress02.png,,,,,,,,,,Light Commercial,Strength,,,,Body-Solid,ProClub Line Chest Press,,"$2,765.00","$2,765.00",,,,,Structurally and biomechanically designed for intensive club use the Chest Press' rigid body structure plays a critical role in the machines superb handling,45,,53,,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,instock,no,yes,no,no,catalog/search,taxable,standard
SLC400G-2,simple,publish,,http://www.BodySolid.com/images/products/SLC400G-2/600/SLC400G_HERO.png,http://www.BodySolid.com/images/products/SLC400G-2/600/SLC400G_EX_LegCurl.png,,,,,,,,,,,Light Commercial,Strength,,,,Body-Solid,ProClub Line Leg Curl,,"$2,765.00","$2,765.00",,,,,This Leg Curl Machine sets the standard for workout comfort and convenience,64,,37,,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,instock,no,yes,no,no,catalog/search,taxable,standard
SLE200G-2,simple,publish,,http://www.BodySolid.com/images/products/SLE200G-2/600/SLE200G_HERO.png,http://www.BodySolid.com/images/products/SLE200G-2/600/SLE200G_EX_LegExt.png,,,,,,,,,,,Light Commercial,Strength,,,,Body-Solid,ProClub Line Leg Extension,,"$2,765.00","$2,765.00",,,,,When youre ready to build muscular legs and stronger knee joints the Leg Extension Machine is ready to help you meet your goals,42,,39,,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,instock,no,yes,no,no,catalog/search,taxable,standard
SLM300G-2,simple,publish,,http://www.BodySolid.com/images/products/SLM300G-2/600/SLM300G_HERO.png,http://www.BodySolid.com/images/products/SLM300G-2/600/SLM300G_EX_LatPull.png,http://www.BodySolid.com/images/products/SLM300G-2/600/SLM300G_EX_LowRow.png,,,,,,,,,,Light Commercial,Strength,,,,Body-Solid,ProClub Line Lat Mid Row,,"$2,765.00","$2,765.00",,,,,Impressively versatile the Pro Club Lat Machine is a favorite for gym and club use,62,,24,,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,instock,no,yes,no,no,catalog/search,taxable,standard
SLP500G-2,simple,publish,,http://www.BodySolid.com/images/products/SLP500G-2/600/SLP500G_HERO.png,http://www.BodySolid.com/images/products/SLP500G-2/600/SLP500G_EX_CalfPress.png,http://www.BodySolid.com/images/products/SLP500G-2/600/SLP500G_EX_LegPress.png,,,,,,,,,,Light Commercial,Strength,,,,Body-Solid,ProClub Line Leg Press,,"$2,765.00","$2,765.00",,,,,True to Body-Solid tradition this is no ordinary Leg Press Machine; it uses sophisticated pillow block and sealed ball-bearings for precision alignment and friction-free movement,75,,32,,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,instock,no,yes,no,no,catalog/search,taxable,standard
B5U,simple,publish,,http://www.BodySolid.com/images/products/B5U/600/B5U_Hero_F1200.png,http://www.BodySolid.com/images/products/B5U/600/B5U_Hero_F.png,http://www.BodySolid.com/images/products/B5U/600/B5U_Hero_F1.png,,,,,,,,,,Light Commercial,Bikes,Upright Bikes,,,Body-Solid,Endurance Upright Bike,,"$2,795.00","$2,795.00",,,,,The Endurance by Body Solid B5U upright bike is the pinnacle of indoor bike exercise. With a light commercial rating the B5U is perfect for most homes and clubs. The ergonomic handle bar combines with the heavy gauge steel frame to replicate a true road cycling experience.,59,,26,,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,instock,no,yes,no,no,catalog/search,taxable,standard
SBL460P4,simple,publish,,http://www.BodySolid.com/images/products/SBL460P4/600/SBL460P4_HERO.png,http://www.BodySolid.com/images/products/SBL460P4/600/SBL460P4_EX_LatPull.png,,,,,,,,,,,Light Commercial,Strength,,,,Body-Solid,Freeweight Leverage Gym,,"$2,835.00","$2,835.00",,,,,A Best Buy! Turn up the intensity of your workouts and achieve maximum gains in strength and size in a minimum amount of time,107,,126,,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,instock,no,yes,no,no,catalog/search,taxable,standard
G5S,simple,publish,,http://www.BodySolid.com/images/products/G5S/600/G5S_HERO_F600.png,http://www.BodySolid.com/images/products/G5S/600/C6XT8026.jpg,http://www.BodySolid.com/images/products/G5S/600/C6XT8036.jpg,http://www.BodySolid.com/images/products/G5S/600/C6XT8053.jpg,,,,,,,,http://www.BodySolid.com/images/products/G5S/600/C6XT8072.jpg,Light Commercial,Strength,Multi-Gym,,,Body-Solid,Body-Solid G5S Single Stack Gym,,"$3,000.00","$3,000.00",,,,,The Body-Solid G5S is a feature packed home gym with a frontal-access design making your workouts faster more efficient and requiring less space,83,,46,,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,instock,no,yes,no,no,catalog/search,taxable,standard
